"","YYYYMMDD","DOY","TEMP","RHUM","RAIN","LAT","LON"
"1",2000-07-01,183,25.3,92.19,23.12,14.6774,121.25562
"2",2000-07-02,184,26.13,86,17.34,14.6774,121.25562
"3",2000-07-03,185,25.51,94.19,29.08,14.6774,121.25562
"4",2000-07-04,186,25.81,92.44,13,14.6774,121.25562
"5",2000-07-05,187,25.97,92.31,32.2,14.6774,121.25562
"6",2000-07-06,188,26.12,88.62,23.79,14.6774,121.25562
"7",2000-07-07,189,25.92,91.31,10.9,14.6774,121.25562
"8",2000-07-08,190,26.15,91,21.07,14.6774,121.25562
"9",2000-07-09,191,25.85,93.38,7.03,14.6774,121.25562
"10",2000-07-10,192,25.51,93.69,4.79,14.6774,121.25562
"11",2000-07-11,193,25.65,86,8.16,14.6774,121.25562
"12",2000-07-12,194,24.71,89.56,40.37,14.6774,121.25562
"13",2000-07-13,195,24.56,94.88,36.5,14.6774,121.25562
"14",2000-07-14,196,25.24,93.94,18.87,14.6774,121.25562
"15",2000-07-15,197,24.96,93.25,14.49,14.6774,121.25562
"16",2000-07-16,198,25.9,85.88,0.76,14.6774,121.25562
"17",2000-07-17,199,25.57,87.56,0.16,14.6774,121.25562
"18",2000-07-18,200,25.17,86.25,0.71,14.6774,121.25562
"19",2000-07-19,201,25.33,82.69,3.73,14.6774,121.25562
"20",2000-07-20,202,25.92,78,4.25,14.6774,121.25562
"21",2000-07-21,203,25.6,85,6.69,14.6774,121.25562
"22",2000-07-22,204,24.37,92.75,4.31,14.6774,121.25562
"23",2000-07-23,205,24.7,94.19,5.51,14.6774,121.25562
"24",2000-07-24,206,24.82,91.81,8.32,14.6774,121.25562
"25",2000-07-25,207,25.4,89.31,2.85,14.6774,121.25562
"26",2000-07-26,208,25.27,90.94,1.39,14.6774,121.25562
"27",2000-07-27,209,24.8,91.62,4.13,14.6774,121.25562
"28",2000-07-28,210,25.51,87.38,1.65,14.6774,121.25562
"29",2000-07-29,211,25.85,87.38,0.25,14.6774,121.25562
"30",2000-07-30,212,25.71,86.75,0,14.6774,121.25562
"31",2000-07-31,213,25.9,83.06,0.48,14.6774,121.25562
"32",2000-08-01,214,27.05,78.75,0.73,14.6774,121.25562
"33",2000-08-02,215,25.96,86.06,3.09,14.6774,121.25562
"34",2000-08-03,216,25.01,91.56,10.87,14.6774,121.25562
"35",2000-08-04,217,24.48,92.19,12.82,14.6774,121.25562
"36",2000-08-05,218,24.43,91.88,17.21,14.6774,121.25562
"37",2000-08-06,219,24.93,91.31,14.53,14.6774,121.25562
"38",2000-08-07,220,25.11,88.94,2.4,14.6774,121.25562
"39",2000-08-08,221,26,86.5,0.26,14.6774,121.25562
"40",2000-08-09,222,26.34,85.12,1.32,14.6774,121.25562
